asset_id,site_id,building_id,asset_name,asset_type,manufacturer,installation_date,capacity,parent_asset_id
SITE-02-BLDG-01-AST-007,SITE-02,SITE-02-BLDG-01,EnvSensor-SITE-02-BLDG-01-007,EnvSensor,Trane,2018-07-12,,SITE-02-BLDG-01-AST-006
SITE-02-BLDG-01-AST-008,SITE-02,SITE-02-BLDG-01,EnergyMeter-SITE-02-BLDG-01-008,EnergyMeter,Honeywell,2019-06-09,,SITE-02-BLDG-01-AST-005
SITE-02-BLDG-01-AST-009,SITE-02,SITE-02-BLDG-01,EnergyMeter-SITE-02-BLDG-01-009,EnergyMeter,Johnson Controls,2016-08-08,,SITE-02-BLDG-01-AST-006
SITE-02-BLDG-02-AST-000,SITE-02,SITE-02-BLDG-02,EnvSensor-SITE-02-BLDG-02-000,EnvSensor,Siemens,2019-10-21,,SITE-02-BLDG-02-AST-003
SITE-02-BLDG-02-AST-001,SITE-02,SITE-02-BLDG-02,EnergyMeter-SITE-02-BLDG-02-001,EnergyMeter,Trane,2019-01-22,,SITE-02-BLDG-02-AST-009
SITE-02-BLDG-02-AST-002,SITE-02,SITE-02-BLDG-02,AHU-SITE-02-BLDG-02-002,AHU,Daikin,2020-09-18,7418.32,SITE-02-BLDG-02-AST-009
SITE-02-BLDG-02-AST-003,SITE-02,SITE-02-BLDG-02,Chiller-SITE-02-BLDG-02-003,Chiller,Carrier,2015-07-12,684.87,
SITE-02-BLDG-02-AST-004,SITE-02,SITE-02-BLDG-02,AHU-SITE-02-BLDG-02-004,AHU,Trane,2022-01-14,7798.55,SITE-02-BLDG-02-AST-003
SITE-02-BLDG-02-AST-005,SITE-02,SITE-02-BLDG-02,EnergyMeter-SITE-02-BLDG-02-005,EnergyMeter,Carrier,2021-09-08,,SITE-02-BLDG-02-AST-009
SITE-02-BLDG-02-AST-006,SITE-02,SITE-02-BLDG-02,EnergyMeter-SITE-02-BLDG-02-006,EnergyMeter,Siemens,2019-04-13,,SITE-02-BLDG-02-AST-003
SITE-02-BLDG-02-AST-007,SITE-02,SITE-02-BLDG-02,EnergyMeter-SITE-02-BLDG-02-007,EnergyMeter,Johnson Controls,2020-12-07,,SITE-02-BLDG-02-AST-010
SITE-02-BLDG-02-AST-008,SITE-02,SITE-02-BLDG-02,EnvSensor-SITE-02-BLDG-02-008,EnvSensor,Honeywell,2015-02-17,,SITE-02-BLDG-02-AST-010
SITE-02-BLDG-02-AST-009,SITE-02,SITE-02-BLDG-02,Chiller-SITE-02-BLDG-02-009,Chiller,Siemens,2022-08-24,333.26,
SITE-02-BLDG-02-AST-010,SITE-02,SITE-02-BLDG-02,Pump-SITE-02-BLDG-02-010,Pump,Johnson Controls,2022-03-10,87.44,
SITE-03-BLDG-01-AST-000,SITE-03,SITE-03-BLDG-01,Pump-SITE-03-BLDG-01-000,Pump,Trane,2020-08-12,53.01,
SITE-03-BLDG-01-AST-001,SITE-03,SITE-03-BLDG-01,EnvSensor-SITE-03-BLDG-01-001,EnvSensor,Honeywell,2016-03-11,,SITE-03-BLDG-01-AST-002
SITE-03-BLDG-01-AST-002,SITE-03,SITE-03-BLDG-01,Pump-SITE-03-BLDG-01-002,Pump,Siemens,2022-03-02,54.68,
SITE-03-BLDG-01-AST-003,SITE-03,SITE-03-BLDG-01,EnvSensor-SITE-03-BLDG-01-003,EnvSensor,Trane,2017-03-25,,SITE-03-BLDG-01-AST-000
SITE-03-BLDG-01-AST-004,SITE-03,SITE-03-BLDG-01,Pump-SITE-03-BLDG-01-004,Pump,Siemens,2016-10-23,108.49,
SITE-03-BLDG-01-AST-005,SITE-03,SITE-03-BLDG-01,EnvSensor-SITE-03-BLDG-01-005,EnvSensor,Siemens,2015-01-03,,SITE-03-BLDG-01-AST-002
SITE-03-BLDG-01-AST-006,SITE-03,SITE-03-BLDG-01,Pump-SITE-03-BLDG-01-006,Pump,Carrier,2020-06-24,68.06,
SITE-03-BLDG-01-AST-007,SITE-03,SITE-03-BLDG-01,Chiller-SITE-03-BLDG-01-007,Chiller,Johnson Controls,2019-01-26,345.3,
SITE-03-BLDG-02-AST-000,SITE-03,SITE-03-BLDG-02,EnvSensor-SITE-03-BLDG-02-000,EnvSensor,Carrier,2015-11-19,,SITE-03-BLDG-02-AST-008
SITE-03-BLDG-02-AST-001,SITE-03,SITE-03-BLDG-02,EnergyMeter-SITE-03-BLDG-02-001,EnergyMeter,Siemens,2015-10-11,,SITE-03-BLDG-02-AST-004
SITE-03-BLDG-02-AST-002,SITE-03,SITE-03-BLDG-02,AHU-SITE-03-BLDG-02-002,AHU,Honeywell,2016-06-09,13863.39,SITE-03-BLDG-02-AST-004
SITE-03-BLDG-02-AST-003,SITE-03,SITE-03-BLDG-02,EnergyMeter-SITE-03-BLDG-02-003,EnergyMeter,Trane,2021-03-01,,SITE-03-BLDG-02-AST-004
SITE-03-BLDG-02-AST-004,SITE-03,SITE-03-BLDG-02,Pump-SITE-03-BLDG-02-004,Pump,Siemens,2020-12-01,109.82,
SITE-03-BLDG-02-AST-005,SITE-03,SITE-03-BLDG-02,EnergyMeter-SITE-03-BLDG-02-005,EnergyMeter,Siemens,2017-05-17,,SITE-03-BLDG-02-AST-004
SITE-03-BLDG-02-AST-006,SITE-03,SITE-03-BLDG-02,AHU-SITE-03-BLDG-02-006,AHU,Johnson Controls,2022-12-30,6702.1,SITE-03-BLDG-02-AST-008
SITE-03-BLDG-02-AST-007,SITE-03,SITE-03-BLDG-02,EnergyMeter-SITE-03-BLDG-02-007,EnergyMeter,Honeywell,2022-07-14,,SITE-03-BLDG-02-AST-004
SITE-03-BLDG-02-AST-008,SITE-03,SITE-03-BLDG-02,Pump-SITE-03-BLDG-02-008,Pump,Siemens,2019-11-30,88.85,
